id	taxonID	scientificName	order	family	vernacularName	taxonRemarks	bibliographicCitation
d3164f8c-0dbe-4ee9-9d53-05bd0c33e2af	d3164f8c-0dbe-4ee9-9d53-05bd0c33e2af	Larus crassirostris	Charadriiformes	Laridae	Black-tailed Gull, 黑尾鷗	Larus crassirostris	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
dee58b0e-1e45-4e48-a610-65e73d75d1bc	dee58b0e-1e45-4e48-a610-65e73d75d1bc	Larus canus	Charadriiformes	Laridae	Common Gull, 歐亞海鷗	Larus canus	Kubetzki, U., Garthe, S. & Hüppop, O. The diet of Common Gulls Larus canus breeding on the German North Sea coast. Atlantic Seabirds 1, 57-70 (1999).
426b891c-125b-4b08-aa75-1ba6d9e1a495	426b891c-125b-4b08-aa75-1ba6d9e1a495	Larus argentatus	Charadriiformes	Laridae	Herring Gull, 銀鷗	Larus argentatus	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
651d8d66-4670-4208-b105-3441bbafe418	651d8d66-4670-4208-b105-3441bbafe418	Larus fuscus	Charadriiformes	Laridae	Lesser Black-backed Gull, 小黑背鷗	Larus fuscus	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
c0e0dd18-bb82-44c6-b773-ab03129ba4af	c0e0dd18-bb82-44c6-b773-ab03129ba4af	Larus schistisagus	Charadriiformes	Laridae	Slaty-backed Gull, 灰背鷗	Larus schistisagus	Zelenskaya, L. A. Feeding ecology of the Slaty-backed Gull (Larus schistisagus) on Kuril’skoe Lake (southern Kamchatka Peninsula). Biol. Bull. 41, 773-787 (2014).
d8ef42cc-5936-4688-a6b1-40f8a9d868cb	d8ef42cc-5936-4688-a6b1-40f8a9d868cb	Anous stolidus	Charadriiformes	Laridae	Brown Noddy, 玄燕鷗	Anous stolidus	Naves, L. C., Brusque, L. F. & Vooren, C. M. Feeding ecology of Sula leucogaster, Anous stolidus and Anous minutus at Saint Peter and Saint Paul's rocks, Brazil. Ararajuba 10, 21-30 (2002). | Villard, P., Bretagnolle, V. & Borsa, P. Segregation in diet between Black Noddy (Anous minutus) and Brown Noddy (A. stolidus) from the southern lagoon of New Caledonia. Pac. Sci. 69, 197-204 (2015). | Surman, C. A. & Wooller, R. D. Comparative foraging ecology of five sympatric terns at a sub-tropical island in the eastern Indian Ocean. J. Zool. 259, 219-230 (2003).
001e791e-2327-4b04-ba1d-c7eebef9d087	001e791e-2327-4b04-ba1d-c7eebef9d087	Onychoprion fuscatus	Charadriiformes	Laridae	Sooty Tern, 烏領燕鷗	Onychoprion fuscatus	Surman, C. A. & Wooller, R. D. Comparative foraging ecology of five sympatric terns at a sub-tropical island in the eastern Indian Ocean. J. Zool. 259, 219-230 (2003).
ece4758b-cab6-479c-ad73-c50af6069211	ece4758b-cab6-479c-ad73-c50af6069211	Onychoprion anaethetus	Charadriiformes	Laridae	Bridled Tern, 白眉燕鷗	Onychoprion anaethetus	Chen, H. C. Using next generation sequencing to analyze the diet composition of terns from feces in the South Penghu Marine National Park. Master thesis, National Sun Yat-sen University, (2023).
50aed37d-1788-4db4-9de8-b56b3c4c03c1	50aed37d-1788-4db4-9de8-b56b3c4c03c1	Onychoprion aleuticus	Charadriiformes	Laridae	Aleutian Tern, 白腰燕鷗	Onychoprion aleuticus	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
9c76da95-fc08-42ee-b8d1-22cf8fd30d74	9c76da95-fc08-42ee-b8d1-22cf8fd30d74	Sternula albifrons	Charadriiformes	Laridae	Little Tern, 小燕鷗	Sternula albifrons	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
